x,y,z
-0.003290171,0.007699411,0.096734426
0.021435495,0.015815835,0.081918279
0.059088645,0.009968125,0.093544066
0.090022335,0.000573404,0.096716438
0.208809359,-0.008822046,0.089057333
0.343686073,-0.024014243,0.092551664
0.485553396,-0.029258042,0.093777845
0.606491054,-0.035254627,0.078755715
0.787629993,-0.037475779,0.100110404
0.972619598,-0.047085609,0.070673154
1.152226396,-0.056273584,0.084478064
1.242316145,-0.063476625,0.066322223
1.366417,-0.086418642,0.070316057
1.383609205,-0.080179736,0.057086001
1.395762478,-0.083247904,0.036238593
1.41013879,-0.083107285,0.054481812
1.502847968,-0.079351388,0.06120844
1.528423358,-0.081920473,0.032601415
1.533595156,-0.081023169,0.035123465
1.702279194,-0.089534361,0.000719616
1.729167535,-0.096445664,0.010053215
1.742191095,-0.092203497,0.025771585
1.799131276,-0.080906319,0.045069457
1.957856291,-0.094521977,0.026519818
2.08763674,-0.091199136,0.004409653
2.225514617,-0.108487464,0.026585629
2.359111844,-0.134266885,0.025374298
2.48251639,-0.134986964,0.013552292
2.590926216,-0.174104153,0.002405066
2.724433485,-0.228995618,0.01256151
2.828044816,-0.227105687,-0.015175376
2.904095596,-0.196151664,0.014237207
2.928466346,-0.181873904,-0.015190075
2.92884903,-0.190927916,0.073891624
2.934277421,-0.185946955,0.085103966
2.928626341,-0.196195301,0.114422929
2.937049264,-0.224055271,0.205940183
2.930711106,-0.212827867,0.20443382
2.923027936,-0.196128991,0.16948165
2.93319783,-0.193098862,0.154772531
2.938296813,-0.208741087,0.080004207
2.92676135,-0.196343117,0.079357681
2.938932419,-0.205196639,0.06337094
2.92551721,-0.201864218,0.009412095
2.938998301,-0.199245507,0.049487426
2.951248715,-0.197979346,0.150712369
2.932343436,-0.221532557,0.070838415
2.910804736,-0.1925964,0.105934707
2.873445779,-0.231257779,0.148625932
2.788014096,-0.208239349,0.175203011
2.668718044,-0.188357381,0.062010219
2.615417911,-0.185730675,0.055170941
2.535027686,-0.153792834,0.024936889
2.402606193,-0.151643225,0.095582435
2.315245723,-0.138198337,0.078578486
2.235309981,-0.122702375,0.083312438
2.148184711,-0.125603728,0.156802732
2.060083635,-0.11583856,0.199057969
1.934915503,-0.089968911,0.183458132
1.860003244,-0.102061665,0.176612882
1.734797526,-0.094979516,0.176982148
1.599442466,-0.134257908,0.227133415
1.618258812,-0.102710319,0.23314585
1.592992093,-0.091429781,0.177014164
1.614455901,-0.114084675,0.249488226
1.59433956,-0.095340407,0.202838978
1.626185809,-0.100716402,0.195901914
1.607038693,-0.109500863,0.216142708
1.605136504,-0.097260103,0.169057433
1.574197626,-0.105261965,0.165158342
1.604023415,-0.098138596,0.188049586
1.597552927,-0.106689123,0.221202043
1.596569222,-0.108163587,0.214760743
1.594732789,-0.10919957,0.182927255
1.610905793,-0.119110954,0.099930035
1.599411392,-0.105666972,0.1785904
1.604569582,-0.113494605,0.193313853
1.595545129,-0.113678751,0.223830065
1.593837216,-0.10805886,0.162713238
1.595739071,-0.108842651,0.185304618
1.500992923,-0.099964777,0.224717269
1.370690292,-0.101455044,0.220256897
1.226275801,-0.093805803,0.197918125
1.020164666,-0.080851012,0.231064124
0.874576792,-0.077202952,0.247757157
0.738725219,-0.073066206,0.235061954
0.55909869,-0.066661059,0.276699538
0.433762811,-0.067561392,0.305290764
0.331959544,-0.060360267,0.27013348
0.231736215,-0.055411894,0.302766853
0.132216046,-0.046956875,0.336752904
0.087426569,-0.034548904,0.367870317
0.081982214,-0.04188076,0.340897874
0.070823459,-0.038576688,0.301695357
0.079855069,-0.038945804,0.306563064
0.072080736,-0.034795187,0.308173176
0.063217993,-0.042328167,0.29448179
