x,y,z
-0.017524038,0.009645479,0.015452903
-0.006942536,0.011639727,0.003345793
-0.001045679,-0.005164874,-0.018783658
0.006428378,0.002780603,-0.041172749
-0.003482081,0.002439566,0.011940279
0.04118843,0.00497674,-0.005135819
0.148326025,-0.013183616,-0.015845733
0.211405957,-0.004761817,-0.006650524
0.271675821,-0.003457993,-0.033769685
0.334033389,-0.02166175,-0.007649214
0.38957945,-0.011479481,0.020769391
0.458311982,-0.018031473,0.001749704
0.521381228,-0.031330115,-0.009765705
0.601324575,-0.033591557,0.019436899
0.637709602,-0.027647493,-0.003050093
0.642726075,-0.028714969,-0.03032709
0.624346117,-0.010807675,-0.037090128
0.638649884,-0.031958658,-0.000435186
0.621212704,-0.018367867,-0.045572166
0.731053888,-0.032593202,-0.029928743
0.848206734,-0.006108002,-0.017089139
0.960163921,-0.021801774,-0.01857635
1.012594666,-0.029483389,-0.001563966
1.093088476,-0.033985369,-0.033867591
1.20183746,-0.04188384,0.015036286
1.315537474,-0.049360112,0.045138981
1.363593084,-0.038021867,0.053828778
1.385009787,-0.048877169,0.045762394
1.445458473,-0.055781743,0.02260328
1.500212229,-0.062566594,0.011302261
1.577782431,-0.049246559,0.018346663
1.698166231,-0.058728453,0.060338628
1.791090613,-0.067535257,0.021911633
1.862223744,-0.072048909,-0.044535495
1.976458414,-0.086823295,-0.022023729
2.072338841,-0.07546067,0.021383192
2.162164189,-0.101020109,-0.010343385
2.258520994,-0.074390341,-0.03778569
2.344363529,-0.089433233,-0.005009141
2.440860838,-0.085720324,0.00299887
2.557384922,-0.086110911,-0.008496578
2.65041137,-0.083181592,0.00433402
2.732504926,-0.099124804,0.018439801
2.830458679,-0.099763067,0.005725661
2.904318445,-0.109948441,0.023848028
2.934047121,-0.096457323,-0.018543214
2.927516824,-0.104480394,-0.02556233
2.939715954,-0.095944859,-0.000262132
2.931389878,-0.102024438,-0.011390217
2.918757549,-0.115274312,-0.010210885
2.927166602,-0.107816405,0.002478635
2.929037868,-0.117258566,0.007319938
2.932748198,-0.10970258,-0.009472098
2.908884934,-0.118296017,-0.032345042
2.890762983,-0.116144742,-0.004635814
2.81683053,-0.112079468,-0.021293605
2.694817066,-0.102740379,0.004191195
2.61318383,-0.100150573,-0.035224671
2.542636337,-0.107515413,-0.00666005
2.493291669,-0.07997196,-0.007234355
2.415971406,-0.093375496,0.016969375
2.323683023,-0.085134832,-0.010666326
2.283562155,-0.084140376,-0.01539752
2.166841207,-0.073246778,0.013382599
2.035712687,-0.081649897,0.022650375
1.893121281,-0.111508971,0.032371315
1.838586021,-0.101452427,0.001772945
1.734230739,-0.089225285,-0.000292635
1.622138891,-0.093210288,0.031209253
1.546669176,-0.079755387,0.042198255
1.528419604,-0.098410897,0.052605596
1.539495424,-0.071939705,0.005813678
1.442229439,-0.086737211,0.013511207
1.365618905,-0.096617458,0.081341744
1.257031346,-0.084779033,0.090212034
1.137051449,-0.07812195,0.042514681
0.996582737,-0.076153891,0.040666498
0.89862659,-0.077003975,0.06558374
0.724594734,-0.040650797,0.056754313
0.612712049,-0.06568921,0.026903324
0.538808763,-0.053639793,0.041180332
0.416904182,-0.061215201,0.04311178
0.327357483,-0.055880563,0.043922336
0.233873375,-0.034628555,0.045225702
0.121945587,-0.027247141,0.031427408
0.049640713,-0.042323893,0.018752177
0.002665268,-0.036431863,0.039637471
-0.002325229,-0.025856064,0.076738234
0.016740414,-0.041864199,0.053479877
-0.000796019,-0.031076521,0.084136161
-0.004010649,-0.039259298,0.123592381
0.008581556,-0.019859146,0.091583754
0.008031073,-0.028480749,0.079987483
