x,y,z
-0.006025476,-0.017455729,0.037170685
-0.018156926,-0.044040156,0.018240818
-0.01408213,-0.04909098,0.040168869
-0.004600427,-0.07600049,0.029546442
0.08770917,-0.055055631,0.060186691
0.181552897,-0.075962685,0.039759047
0.311496756,-0.09516546,0.011689919
0.34900227,-0.08929982,0.031453826
0.390438235,-0.099270198,0.022403091
0.461277192,-0.10372814,0.026858589
0.556316454,-0.091841708,0.051238724
0.657785419,-0.105020325,0.050464407
0.77982396,-0.082240988,0.033080238
0.897789814,-0.067587488,0.036215598
0.9865281,-0.070856986,0.035410591
1.059435101,-0.096226177,0.01850773
1.156925953,-0.096930663,0.009750944
1.239236624,-0.109504426,-0.016339119
1.273621007,-0.113446961,0.009853368
1.344678874,-0.108616724,0.003080592
1.429102992,-0.118445114,-0.026564583
1.496060767,-0.129356276,-0.046259544
1.561171373,-0.109414936,-0.021203688
1.543340769,-0.111530463,-0.030658118
1.546871632,-0.112347463,-0.009652196
1.557838466,-0.110173105,-0.017401841
1.583606774,-0.122384768,-0.011849568
1.737251495,-0.119400123,-0.004536909
1.763501131,-0.113083006,-0.00695195
1.813492964,-0.097224793,-0.010587229
1.917735148,-0.14074407,-0.001393566
2.02352087,-0.135196885,-0.011775371
2.068242768,-0.135274354,-0.014988847
2.181845615,-0.142576688,-0.027087161
2.262841013,-0.159576673,-0.043111723
2.337464183,-0.150423684,-0.00788853
2.409560901,-0.13794635,-0.019440799
2.49074775,-0.141099633,-0.033485355
2.591197785,-0.162157666,-0.011314601
2.661888835,-0.1808358,0.0696661
2.696478769,-0.170430203,0.051027918
2.78622988,-0.172555489,0.017129507
2.834426851,-0.167858638,-0.078824517
2.896095193,-0.185995769,-0.034211011
2.878071412,-0.206726431,-0.050106054
2.878687957,-0.206186514,-0.076981505
2.894671411,-0.19526305,-0.075143304
2.87902157,-0.203213745,-0.016244786
2.88770602,-0.187058189,0.001657991
2.880242222,-0.194452481,-0.004627537
2.89185901,-0.181351378,0.013426501
2.888064551,-0.201679106,0.04195044
2.891690248,-0.174354738,0.019797747
2.882293705,-0.187940494,0.02972305
2.883388638,-0.178600871,0.025368564
2.811976428,-0.181753971,0.040521243
2.753906403,-0.191677232,0.063893768
2.636036882,-0.170287824,0.114090541
2.556000656,-0.162168535,0.082418588
2.440138728,-0.127531012,0.051866157
2.31489958,-0.173609474,0.04152299
2.18829111,-0.171252968,0.130220411
2.049433125,-0.15792199,0.063254209
1.911675797,-0.13018707,0.03887243
1.794800836,-0.110574503,0.071145797
1.666707456,-0.122956831,0.086189937
1.541630751,-0.116074414,0.072889048
1.503014812,-0.115703977,0.062261735
1.530770603,-0.119531369,0.072037467
1.512092057,-0.120914334,0.099231171
1.527976015,-0.145771756,0.149552652
1.535280541,-0.138975821,0.201024573
1.547434505,-0.150553156,0.224224906
1.537111624,-0.139544932,0.206182862
1.534856976,-0.150120754,0.236661074
1.543608351,-0.138610751,0.253381974
1.550340568,-0.149574629,0.249362371
1.543850781,-0.145125462,0.201106456
1.551309472,-0.150641927,0.225281383
1.565929224,-0.155542798,0.254381508
1.562128689,-0.141217885,0.286294925
1.540058053,-0.143437951,0.304866945
1.549123945,-0.148746486,0.264748441
1.539515431,-0.13284906,0.24361339
1.518529939,-0.156790268,0.2291105
1.532337871,-0.147253628,0.301767912
1.475109705,-0.155435056,0.348619378
1.358213283,-0.141286592,0.293145888
1.198302763,-0.1441847,0.26345866
1.111021366,-0.137522689,0.276514583
0.941071205,-0.136176476,0.309703381
0.818219352,-0.149704565,0.332526902
0.695529036,-0.138963302,0.315772218
0.601674514,-0.142659554,0.332532125
0.413812485,-0.145334247,0.340617283
0.320198833,-0.150107588,0.321502648
0.198840221,-0.143690899,0.309225857
0.101095375,-0.142506406,0.318213782
0.005947485,-0.143316812,0.303870262
0.017119084,-0.12590906,0.274235483
0.012761125,-0.142429939,0.305418772
0.015522479,-0.14000688,0.340659546
